hostname,owner,department,ip_address,subnet,gateway,status,last_seen,location,cost_center,asset_tag,monthly_cost,serial_number,purchase_date,warranty_expiration,retirement_date,
LAXACTPC001,James Smith,Accounting,192.168.100.7,192.168.100.0/27,192.168.100.1,Online,6/20/2026,Los Angeles,FIN-1001,AT-00001,65,SN-100001,2024-01-10,2027-01-10,2029-01-15,
LAXACTPC002,Michael Johnson,Accounting,192.168.100.8,192.168.100.0/27,192.168.100.1,Online,6/20/2026,Los Angeles,FIN-1001,AT-00002,55,SN-100002,2021-06-10,2026-06-10,2029-01-15,
LAXACTPC003,Robert Williams,Accounting,192.168.100.9,192.168.100.0/27,192.168.100.1,Online,6/20/2026,Los Angeles,FIN-1001,AT-00003,39,SN-100003,2024-01-15,2027-01-15,2029-01-15,
LAXACTPC004,David Brown,Accounting,192.168.100.10,192.168.100.0/27,192.168.100.1,Online,6/20/2026,Los Angeles,FIN-1001,AT-00004,39,SN-100004,2024-01-15,2027-01-15,2029-01-15,
LAXACTPC005,William Jones,Accounting,192.168.100.11,192.168.100.0/27,192.168.100.1,Online,6/20/2026,Los Angeles,FIN-1001,AT-00005,60,SN-100005,2024-03-01,2027-03-01,2029-01-15,
LAXACTPC006,Richard Garcia,Accounting,192.168.100.12,192.168.100.0/27,192.168.100.1,Online,6/20/2026,Los Angeles,FIN-1001,AT-00006,72,SN-100006,2024-03-15,2027-03-15,2029-01-15,
LAXACTPC007,Joseph Miller,Accounting,192.168.100.13,192.168.100.0/27,192.168.100.1,Online,6/20/2026,Los Angeles,FIN-1001,AT-00007,39,SN-100007,2024-01-15,2027-01-15,2029-01-15,
LAXACTPC008,Thomas Davis,Accounting,192.168.100.14,192.168.100.0/27,192.168.100.1,Online,6/20/2026,Los Angeles,FIN-1001,AT-00008,65,SN-100008,2024-04-01,2027-04-01,2029-01-15,
LAXACTPC009,Charles Rodriguez,Accounting,192.168.100.15,192.168.100.0/27,192.168.100.1,Offline,6/15/2026,Los Angeles,FIN-1001,AT-00009,34,SN-100009,2022-05-10,2025-05-10,2029-01-15,
LAXACTPC010,Daniel Martinez,Accounting,192.168.100.16,192.168.100.0/27,192.168.100.1,Online,6/20/2026,Los Angeles,FIN-1001,AT-00010,70,SN-100010,2024-04-15,2027-04-15,2029-01-15,
LAXITSPC001,Matthew Hernandez,IT,192.168.100.39,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00011,65,SN-100011,2023-01-10,2026-01-10,2029-01-15,
LAXITSPC002,Anthony Lopez,IT,192.168.100.40,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00012,44,SN-100012,2023-02-10,2026-02-10,2029-01-15,
LAXITSPC003,Mark Gonzalez,IT,192.168.100.41,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00013,52,SN-100013,2024-01-15,2027-01-15,2029-01-15,
LAXITSPC004,Donald Wilson,IT,192.168.100.42,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00014,65,SN-100014,2023-04-10,2026-04-10,2029-01-15,
LAXITSPC005,Steven Anderson,IT,192.168.100.43,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00015,44,SN-100015,2023-05-10,2026-05-10,2029-01-15,
LAXITSPC006,Paul Thomas,IT,192.168.100.44,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00016,48,SN-100016,2023-06-10,2026-06-10,2029-01-15,
